Iteration,GA_Mean_Fitness,GA_Q0_Fitness,GA_Q100_Fitness,PSO_Mean_Fitness,PSO_Q0_Fitness,PSO_Q100_Fitness,SA_Mean_Fitness,SA_Q0_Fitness,SA_Q100_Fitness,TS_Mean_Fitness,TS_Q0_Fitness,TS_Q100_Fitness,RS_Mean_Fitness,RS_Q0_Fitness,RS_Q100_Fitness
1,0.13062,0.09345,0.17221,0.12779,0.10402,0.19550,0.19245,0.09982,0.44494,0.19074,0.10581,0.47815,0.12998,0.09345,0.17221
2,0.12634,0.09345,0.16650,0.12048,0.09206,0.15599,0.17091,0.09637,0.28401,0.16658,0.09906,0.31002,0.12203,0.09345,0.15222
3,0.12318,0.09345,0.16650,0.11518,0.09202,0.15473,0.16197,0.09637,0.26996,0.15181,0.09855,0.30672,0.11765,0.09345,0.14104
4,0.12079,0.09345,0.16650,0.11217,0.08883,0.15209,0.15203,0.09271,0.26128,0.13879,0.09541,0.26378,0.11581,0.09345,0.14104
5,0.11955,0.09345,0.15222,0.10995,0.08836,0.14300,0.14340,0.09271,0.26128,0.12637,0.09445,0.26378,0.11449,0.09345,0.13490
6,0.11871,0.09345,0.15221,0.10909,0.08835,0.14134,0.13910,0.09271,0.25310,0.12090,0.09100,0.23404,0.11338,0.09345,0.13490
7,0.11830,0.09345,0.15221,0.10838,0.08832,0.13682,0.13539,0.09271,0.25278,0.11837,0.09095,0.23272,0.11218,0.09310,0.12965
8,0.11754,0.09345,0.15221,0.10802,0.08832,0.13635,0.13446,0.09271,0.25278,0.11218,0.08740,0.15721,0.11185,0.09310,0.12944
9,0.11690,0.09345,0.14509,0.10778,0.08829,0.13635,0.12976,0.09271,0.24327,0.11051,0.08681,0.15721,0.11129,0.09310,0.12876
10,0.11630,0.09345,0.14297,0.10763,0.08829,0.13635,0.12827,0.09271,0.24327,0.10802,0.08681,0.15721,0.11053,0.09310,0.12876
11,0.11592,0.09345,0.14297,0.10760,0.08829,0.13635,0.12716,0.09271,0.24327,0.10616,0.08681,0.15053,0.10956,0.09310,0.12479
